epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,51678.1,0.68277,0.84806,0.63216,1.01571,0,0.70759,0.54679,0.60435,0.41474,0.70022,0.50344,0.5215,0.21653,1.05297,0.91908,1.24887,1.18948,0,6.568e-05,6.568e-05,6.568e-05
54,52504.7,0.6739,0.83726,0.62758,1.00325,0,0.69008,0.5365,0.56747,0.38594,0.691,0.48783,0.50135,0.21385,1.09406,0.89913,1.3132,1.23391,0,6.502e-05,6.502e-05,6.502e-05
55,53343.5,0.65318,0.81666,0.61634,0.99504,0,0.68013,0.54925,0.5869,0.40838,0.64197,0.5132,0.51004,0.21516,1.0679,0.95391,1.27017,1.21866,0,6.436e-05,6.436e-05,6.436e-05
56,54166,0.63621,0.83372,0.61162,0.99089,0,0.66276,0.53187,0.56269,0.37185,0.69117,0.47509,0.50489,0.20845,1.11214,0.962,1.35171,1.24566,0,6.37e-05,6.37e-05,6.37e-05
57,55082.4,0.70266,0.87528,0.62019,1.00308,0,0.70778,0.5365,0.56762,0.37332,0.69276,0.49015,0.50877,0.20945,1.09462,0.93578,1.32416,1.24423,0,6.304e-05,6.304e-05,6.304e-05
58,56011.8,0.69749,0.85953,0.61218,1.01761,0,0.72661,0.54345,0.58124,0.39018,0.68805,0.49131,0.51302,0.21913,1.10148,0.91865,1.27902,1.248,0,6.238e-05,6.238e-05,6.238e-05
59,56850.3,0.66533,0.85306,0.61006,0.99618,0,0.70563,0.54925,0.57154,0.37036,0.6687,0.51217,0.50534,0.21293,1.12244,0.93177,1.26784,1.26683,0,6.172e-05,6.172e-05,6.172e-05
60,57715.5,0.66638,0.82926,0.61017,1.00033,0,0.70006,0.53998,0.57727,0.38376,0.66189,0.49905,0.5108,0.21416,1.11366,0.94273,1.27999,1.24517,0,6.106e-05,6.106e-05,6.106e-05
61,58547.5,0.64106,0.81594,0.61074,0.98523,0,0.71167,0.55199,0.5789,0.38661,0.67713,0.5029,0.4995,0.20103,1.10412,0.98602,1.31032,1.25071,0,6.04e-05,6.04e-05,6.04e-05
62,59413.7,0.64145,0.84879,0.60327,0.98466,0,0.71484,0.51995,0.56985,0.37856,0.66068,0.48055,0.50143,0.20783,1.12602,0.93708,1.32056,1.2845,0,5.974e-05,5.974e-05,5.974e-05
63,60277.7,0.67001,0.85665,0.6034,0.99143,0,0.74174,0.5225,0.56694,0.37462,0.71815,0.49247,0.50072,0.20276,1.09191,0.93483,1.31069,1.24142,0,5.908e-05,5.908e-05,5.908e-05
64,61366.1,0.65152,0.81018,0.59793,1.00193,0,0.74195,0.5226,0.58029,0.38466,0.70573,0.47798,0.51136,0.21064,1.09186,0.96291,1.28915,1.24871,0,5.842e-05,5.842e-05,5.842e-05
65,62238.4,0.66966,0.80502,0.6325,1.01454,0,0.7364,0.53418,0.5918,0.39731,0.66244,0.50174,0.5131,0.2054,1.07161,0.9572,1.26118,1.21653,0,5.776e-05,5.776e-05,5.776e-05
